
============================================================
PERFORMANCE SUMMARY — MP+HS Dual-Tool (Mode: both)
============================================================
Session date:           2026-05-17 18:07:12
Session duration:       755.9 seconds
Total frames processed: 20580
Average latency:        27.3 ms (both tools)
Median latency:         27.9 ms
95th percentile:        31.5 ms
Min latency:            2.5 ms
Max latency:            140.7 ms
Effective FPS:          27.2
============================================================
CSV (full):    /home/burak/Desktop/Bitirme/Pipeline/logs/sessions/S05_Vid10_bright/20260517_175428_mp_hs_S05_Vid10_bright.csv
CSV (compact): /home/burak/Desktop/Bitirme/Pipeline/logs/sessions/S05_Vid10_bright/20260517_175428_mp_hs_S05_Vid10_bright_compact.csv
Events CSV:    /home/burak/Desktop/Bitirme/Pipeline/logs/sessions/S05_Vid10_bright/20260517_175428_mp_hs_S05_Vid10_bright_events.csv
Summary:       /home/burak/Desktop/Bitirme/Pipeline/logs/sessions/S05_Vid10_bright/20260517_175428_mp_hs_S05_Vid10_bright_summary.txt
Events found:  0
============================================================

------------------------------------------------------------
SESSION METADATA
------------------------------------------------------------
Session ID:             20260517_175428
Subject:                S05
Video ID:               Vid10
Content:                mixed
Stimulus type:          mixed
Lighting:               bright
Video source:           /home/burak/Desktop/Bitirme/Recordings/S05_Vid10.mp4
Notes:                  (none)

------------------------------------------------------------
RESOURCE USAGE
------------------------------------------------------------
Device used:            cpu
GPU (hardware):         NVIDIA GeForce GTX 1650
CPU avg:                63.7%
CPU peak:               84.1%
RAM avg:                404 MB
RAM peak:               405 MB
VRAM avg:               7 MB
VRAM peak:              7 MB

------------------------------------------------------------
FACE DETECTION
------------------------------------------------------------
Frames with face:       19934 / 20580 (96.9%)
Frames without face:    646 / 20580 (3.1%)

------------------------------------------------------------
TIMING BREAKDOWN
------------------------------------------------------------
First-frame latency:    140.7 ms (model warmup)
Steady-state avg:       27.3 ms (excluding first frame)
Steady-state p95:       31.5 ms (excluding first frame)

SESSION FINGERPRINT
  (unknown tool — no fingerprint available)

KEY MOMENTS
  (primary signal column not found)

------------------------------------------------------------------------------------------------------------------------
FEATURE STATISTICS
------------------------------------------------------------------------------------------------------------------------
Feature                      min     max    mean  median     std      p5     p25     p75     p95   range    nz%
mp_eyeWideLeft            0.0000  0.1868  0.0100  0.0063  0.0128  0.0004  0.0023  0.0124  0.0323  0.1868  89.3%
mp_eyeWideRight           0.0000  0.2561  0.0103  0.0048  0.0169  0.0001  0.0014  0.0118  0.0370  0.2561  79.4%
mp_eyeSquintLeft          0.0000  0.9555  0.4853  0.4886  0.1655  0.1945  0.4113  0.5813  0.7546  0.9555  96.8%
mp_eyeSquintRight         0.0000  0.8560  0.3540  0.3484  0.1663  0.0821  0.2418  0.4660  0.6393  0.8560  96.8%
mp_mouthPressLeft         0.0000  0.7880  0.0312  0.0119  0.0711  0.0008  0.0043  0.0334  0.0946  0.7880  91.7%
mp_mouthPressRight        0.0000  0.7208  0.0339  0.0124  0.0735  0.0013  0.0066  0.0284  0.1285  0.7208  95.6%
mp_mouthFrownLeft         0.0000  0.3505  0.0029  0.0005  0.0091  0.0000  0.0001  0.0019  0.0140  0.3505  35.6%
mp_mouthFrownRight        0.0000  0.5817  0.0036  0.0006  0.0113  0.0000  0.0002  0.0025  0.0188  0.5817  40.6%
mp_mouthSmileLeft         0.0000  0.9717  0.1087  0.0001  0.2566  0.0000  0.0000  0.0062  0.8586  0.9717  34.2%
mp_mouthSmileRight        0.0000  0.9569  0.0969  0.0001  0.2372  0.0000  0.0000  0.0046  0.8075  0.9569  32.5%
mp_jawOpen                0.0000  0.9420  0.1340  0.0773  0.1585  0.0010  0.0246  0.1865  0.4668  0.9420  94.8%
mp_noseSneerLeft          0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   0.0%
mp_noseSneerRight         0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   0.0%
mp_cheekSquintLeft        0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   0.0%
mp_cheekSquintRight       0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   0.0%
mp_vel_eyeWideLeft        0.0000  2.3569  0.0110  0.0001  0.0633  0.0000  0.0000  0.0053  0.0389  2.3569  42.7%
mp_vel_eyeWideRight       0.0000  3.9402  0.0125  0.0000  0.0758  0.0000  0.0000  0.0048  0.0430  3.9402  40.6%
mp_vel_browInnerUp        0.0000 26.7938  0.0412  0.0000  0.3755  0.0000  0.0000  0.0010  0.0860 26.7938  24.7%
mp_vel_jawOpen            0.0000 16.2711  0.2193  0.0000  0.7507  0.0000  0.0000  0.0720  1.2448 16.2711  41.0%
mp_vel_mouthPressLeft     0.0000 19.8861  0.0765  0.0000  0.4047  0.0000  0.0000  0.0183  0.3466 19.8861  41.7%
mp_vel_mouthPressRight    0.0000 17.5593  0.0910  0.0000  0.4452  0.0000  0.0000  0.0208  0.3985 17.5593  45.2%
mp_tension_velocity       0.0000 16.8085  0.1676  0.0000  0.9129  0.0000  0.0000  0.0307  0.5561 16.8085  41.8%
hs_anger                  0.0000  0.9234  0.1212  0.0359  0.2006  0.0012  0.0108  0.1048  0.6510  0.9234  95.4%
hs_contempt               0.0000  0.6951  0.0285  0.0056  0.0621  0.0003  0.0021  0.0234  0.1501  0.6951  87.3%
hs_disgust                0.0000  0.9878  0.1931  0.0967  0.2279  0.0017  0.0263  0.2908  0.7216  0.9878  95.9%
hs_fear.1                 0.0000  0.9337  0.1244  0.0656  0.1566  0.0018  0.0188  0.1605  0.4722  0.9337  96.1%
hs_happiness              0.0000  0.9990  0.0754  0.0028  0.2044  0.0001  0.0007  0.0181  0.6602  0.9990  69.1%
hs_neutral                0.0000  0.7572  0.1215  0.0518  0.1468  0.0011  0.0117  0.1902  0.4519  0.7572  95.0%
hs_sadness                0.0000  0.9192  0.1809  0.0739  0.2171  0.0021  0.0224  0.2810  0.6774  0.9192  95.9%
hs_surprise               0.0000  0.9221  0.1234  0.0366  0.1855  0.0010  0.0107  0.1445  0.5802  0.9221  95.0%
mp_face_detected          0.0000  1.0000  0.9681  1.0000  0.1757  1.0000  1.0000  1.0000  1.0000  1.0000  96.8%
hs_face_detected          0.0000  1.0000  0.9686  1.0000  0.1744  1.0000  1.0000  1.0000  1.0000  1.0000  96.9%
latency_ms                2.5000 140.7000 27.3421 27.9000  5.1167 23.7000 26.5000 29.1000 31.5000 138.2000 100.0%
cpu_percent               0.0000 84.1000 63.8584 63.1000  5.1020 61.0000 62.4000 65.9000 70.7000 84.1000 100.0%
ram_mb                   332.7000 404.9000 403.9639 404.0000  1.6681 403.0000 403.6000 404.4000 404.8000 72.2000 100.0%
------------------------------------------------------------------------------------------------------------------------
============================================================
